,nr,participant,run,direction,surface,count
0,180,TWOU,nouctun,FL,total,920
0,180,TWOU,nouctun,FL,gaze_fw,675
0,180,TWOU,nouctun,FL,gaze_ic,231
0,180,TWOU,nouctun,FL,gaze_lm,0
0,180,TWOU,nouctun,FL,gaze_lmopt,0
0,180,TWOU,nouctun,FL,gaze_tm,0
0,180,TWOU,nouctun,FL,gaze_tmopt,0
0,180,TWOU,nouctun,FL,none,16
0,181,TWOU,nouctun,FR,total,933
0,181,TWOU,nouctun,FR,gaze_fw,844
0,181,TWOU,nouctun,FR,gaze_ic,69
0,181,TWOU,nouctun,FR,gaze_lm,0
0,181,TWOU,nouctun,FR,gaze_lmopt,0
0,181,TWOU,nouctun,FR,gaze_tm,0
0,181,TWOU,nouctun,FR,gaze_tmopt,0
0,181,TWOU,nouctun,FR,none,22
0,182,TWOU,nouctun,FL,total,944
0,182,TWOU,nouctun,FL,gaze_fw,783
0,182,TWOU,nouctun,FL,gaze_ic,146
0,182,TWOU,nouctun,FL,gaze_lm,0
0,182,TWOU,nouctun,FL,gaze_lmopt,0
0,182,TWOU,nouctun,FL,gaze_tm,0
0,182,TWOU,nouctun,FL,gaze_tmopt,0
0,182,TWOU,nouctun,FL,none,17
0,183,TWOU,nouctun,BL,total,881
0,183,TWOU,nouctun,BL,gaze_fw,721
0,183,TWOU,nouctun,BL,gaze_ic,110
0,183,TWOU,nouctun,BL,gaze_lm,0
0,183,TWOU,nouctun,BL,gaze_lmopt,35
0,183,TWOU,nouctun,BL,gaze_tm,0
0,183,TWOU,nouctun,BL,gaze_tmopt,0
0,183,TWOU,nouctun,BL,none,19
0,184,TWOU,nouctun,BR,total,792
0,184,TWOU,nouctun,BR,gaze_fw,536
0,184,TWOU,nouctun,BR,gaze_ic,210
0,184,TWOU,nouctun,BR,gaze_lm,0
0,184,TWOU,nouctun,BR,gaze_lmopt,0
0,184,TWOU,nouctun,BR,gaze_tm,0
0,184,TWOU,nouctun,BR,gaze_tmopt,0
0,184,TWOU,nouctun,BR,none,47
0,185,TWOU,nouctun,FRs,total,310
0,185,TWOU,nouctun,FRs,gaze_fw,313
0,185,TWOU,nouctun,FRs,gaze_ic,0
0,185,TWOU,nouctun,FRs,gaze_lm,0
0,185,TWOU,nouctun,FRs,gaze_lmopt,0
0,185,TWOU,nouctun,FRs,gaze_tm,0
0,185,TWOU,nouctun,FRs,gaze_tmopt,0
0,185,TWOU,nouctun,FRs,none,0
0,186,TWOU,nouctun,FL,total,866
0,186,TWOU,nouctun,FL,gaze_fw,650
0,186,TWOU,nouctun,FL,gaze_ic,168
0,186,TWOU,nouctun,FL,gaze_lm,0
0,186,TWOU,nouctun,FL,gaze_lmopt,0
0,186,TWOU,nouctun,FL,gaze_tm,0
0,186,TWOU,nouctun,FL,gaze_tmopt,0
0,186,TWOU,nouctun,FL,none,48
0,187,TWOU,nouctun,BL,total,913
