,nr,participant,run,direction,surface,count,dur
0,180,TWOU,nouctun,FL,total,920,9890.0
0,180,TWOU,nouctun,FL,gaze_fw,675,9890.0
0,180,TWOU,nouctun,FL,gaze_ic,231,9890.0
0,180,TWOU,nouctun,FL,gaze_lm,0,9890.0
0,180,TWOU,nouctun,FL,gaze_lmopt,0,9890.0
0,180,TWOU,nouctun,FL,gaze_tm,0,9890.0
0,180,TWOU,nouctun,FL,gaze_tmopt,0,9890.0
0,180,TWOU,nouctun,FL,none,16,9890.0
0,181,TWOU,nouctun,FR,total,933,9719.979999999996
0,181,TWOU,nouctun,FR,gaze_fw,844,9719.979999999996
0,181,TWOU,nouctun,FR,gaze_ic,69,9719.979999999996
0,181,TWOU,nouctun,FR,gaze_lm,0,9719.979999999996
0,181,TWOU,nouctun,FR,gaze_lmopt,0,9719.979999999996
0,181,TWOU,nouctun,FR,gaze_tm,0,9719.979999999996
0,181,TWOU,nouctun,FR,gaze_tmopt,0,9719.979999999996
0,181,TWOU,nouctun,FR,none,22,9719.979999999996
0,182,TWOU,nouctun,FL,total,944,9120.0
0,182,TWOU,nouctun,FL,gaze_fw,783,9120.0
0,182,TWOU,nouctun,FL,gaze_ic,146,9120.0
0,182,TWOU,nouctun,FL,gaze_lm,0,9120.0
0,182,TWOU,nouctun,FL,gaze_lmopt,0,9120.0
0,182,TWOU,nouctun,FL,gaze_tm,0,9120.0
0,182,TWOU,nouctun,FL,gaze_tmopt,0,9120.0
0,182,TWOU,nouctun,FL,none,17,9120.0
0,183,TWOU,nouctun,BL,total,881,9186.686249999999
0,183,TWOU,nouctun,BL,gaze_fw,721,9186.686249999999
0,183,TWOU,nouctun,BL,gaze_ic,110,9186.686249999999
0,183,TWOU,nouctun,BL,gaze_lm,0,9186.686249999999
0,183,TWOU,nouctun,BL,gaze_lmopt,35,9186.686249999999
0,183,TWOU,nouctun,BL,gaze_tm,0,9186.686249999999
0,183,TWOU,nouctun,BL,gaze_tmopt,0,9186.686249999999
0,183,TWOU,nouctun,BL,none,19,9186.686249999999
0,184,TWOU,nouctun,BR,total,792,8463.328125
0,184,TWOU,nouctun,BR,gaze_fw,536,8463.328125
0,184,TWOU,nouctun,BR,gaze_ic,210,8463.328125
0,184,TWOU,nouctun,BR,gaze_lm,0,8463.328125
0,184,TWOU,nouctun,BR,gaze_lmopt,0,8463.328125
0,184,TWOU,nouctun,BR,gaze_tm,0,8463.328125
0,184,TWOU,nouctun,BR,gaze_tmopt,0,8463.328125
0,184,TWOU,nouctun,BR,none,47,8463.328125
