,id,noucfog_ufl,noucfog_sat,noucrain_ufl,noucrain_sat,nouctun_ufl,nouctun_sat,ucrain_ufl,ucrain_sat,uctun_ufl,uctun_sat
0,NNTZ,1.8,0.75,0.0,0.0,0.4,0.25,0.2,0.0,1.8,1.25
1,XSMS,0.4,-0.25,-1.4,0.0,-0.4,-0.5,0.0,0.0,0.6,0.5
2,ZPQX,1.2,1.0,-1.2,0.25,-0.4,-0.75,0.6,0.75,1.8,2.0
3,TTQW,1.2,0.5,-0.4,-0.25,-0.8,0.0,-0.6,-0.5,1.4,0.25
4,TWOU,2.0,1.75,-0.6,0.0,1.0,1.0,0.8,0.25,1.6,1.25
5,OYWO,1.2,0.25,0.2,0.5,-1.0,-1.0,-1.2,-1.75,1.0,0.5
6,SPPV,0.8,1.0,-0.2,0.0,-0.2,-0.25,-0.4,1.0,1.0,1.0
7,PVOU,1.4,1.25,0.4,1.0,-1.0,-0.25,-0.2,1.0,1.8,0.75
8,TTVN,2.0,1.5,-1.2,0.0,-0.4,-0.5,1.0,1.0,2.0,1.75
9,WVPV,1.6,0.5,-1.2,0.0,-0.6,-0.75,0.4,0.0,1.4,0.0
10,PVNT,2.0,2.0,0.0,0.0,1.8,0.75,0.6,-1.75,1.8,-0.25
11,QPMS,0.6,0.25,-1.2,-0.5,-1.2,-0.5,0.0,-0.5,0.4,-0.25
12,UVUM,2.0,0.75,-1.6,-0.5,-1.6,-0.5,0.4,0.25,1.6,0.5
13,MVNT,1.6,0.25,-1.2,0.0,0.4,-0.25,0.6,-0.25,1.0,-0.5
