,angle_front,angle_rear,b1,b2,b3,b4,muf,mur,pBL,pBM,pBR,pFL,pFM,pFR,t_eye,t_python,t_silab,ttcBL,ttcBM,ttcBR,ttcCL,ttcCR,ttcFL,ttcFM,ttcFR,vEgo
0,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.078537,1542039236.542788,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.120537,1542039236.559392,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.120537,1542039236.576104,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.162537,1542039236.5929868,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.162537,1542039236.609585,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.187737,1542039236.626338,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.187737,1542039236.643188,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.229737,1542039236.6598039,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.229737,1542039236.676821,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.254937,1542039236.6936538,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.254937,1542039236.710308,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.296937,1542039236.727072,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.296937,1542039236.7439,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.330537,1542039236.760542,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.330537,1542039236.777279,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.355737,1542039236.7940972,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.355737,1542039236.81089,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.397737,1542039236.827491,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.397737,1542039236.844325,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.431337,1542039236.860949,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.431337,1542039236.8777,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.456537000002,1542039236.894532,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.456537000002,1542039236.911169,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.498537,1542039236.927935,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.498537,1542039236.944755,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16720.523737,1542039236.9613972,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
