,angle_front,angle_rear,b1,b2,b3,b4,muf,mur,pBL,pBM,pBR,pFL,pFM,pFR,t_eye,t_python,t_silab,ttcBL,ttcBM,ttcBR,ttcCL,ttcCR,ttcFL,ttcFM,ttcFR,vEgo
0,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.162537,1542038690.592015,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.170937,1542038690.608693,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.170937,1542038690.625429,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.204537,1542038690.6422698,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.204537,1542038690.6589131,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.238137,1542038690.675684,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.238137,1542038690.6925962,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.271737000001,1542038690.709135,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.271737000001,1542038690.7258599,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.305337,1542038690.742692,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.305337,1542038690.7593849,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.338937,1542038690.776104,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.338937,1542038690.79295,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.372537000001,1542038690.809541,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.372537000001,1542038690.826291,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.414537,1542038690.84315,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.414537,1542038690.859895,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.439737,1542038690.87651,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.439737,1542038690.893411,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.473337000001,1542038690.9099429,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.473337000001,1542038690.926718,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.506937,1542038690.94354,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.506937,1542038690.960199,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.540537,1542038690.976945,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.540537,1542038690.99385,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.574137,1542038691.010403,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.574137,1542038691.027148,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.607737,1542038691.044003,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.607737,1542038691.060622,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.641337000001,1542038691.0773962,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.641337000001,1542038691.0942779,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.674937,1542038691.110847,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.674937,1542038691.1275811,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,FL,BL,0.0,0.0,0.0,0.0,0.0,0.0,16174.708537,1542038691.144428,0.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0
